OPDT,RCOURSECD,RNO,CLOSETM,投票時刻,勝式,投票方式,S,組番１,組番２,組番３,組番４,T,組番５,組番６,組番７,組番８
20210101,9,8,1348,3,３連単,三連単AB,0,1-4=5,1-2=4,1-2=5,1-3=4,1.0,1-4=5,1-4=2,1-5=2,1-4=3
20210101,17,9,1357,3,３連単,三連単AB,0,1-4=5,1-2=4,1-2=5,1-3=4,1.0,1-4=5,1-4=2,1-5=2,1-4=3
20210101,8,8,1400,3,３連単,三連単AB,0,1-4=5,1-2=4,2-4=5,1-3=4,4.0,4-1=5,4-1=2,4-5=2,4-1=3
20210101,14,11,1404,3,３連単,三連単AB,0,1-2=4,1-2=5,2-4=5,1-2=6,2.0,2-1=4,2-1=5,2-4=5,2-1=6
20210101,21,11,1408,3,３連単,三連単AB,0,1-3=6,1-2=3,2-3=6,1-3=4,3.0,3-1=6,3-1=2,3-6=2,3-1=4
20210101,18,11,1409,3,３連単,三連単AB,0,1-3=5,1-4=5,1-3=4,1-2=5,1.0,1-5=3,1-5=4,1-3=4,1-5=2
20210101,10,9,1414,3,３連単,三連単AB,0,1-2=5,1-2=4,2-4=5,1-2=6,2.0,2-1=5,2-1=4,2-5=4,2-1=6
20210101,17,10,1422,3,３連単,三連単AB,0,1-2=3,1-3=5,1-2=5,1-3=6,1.0,1-3=2,1-3=5,1-2=5,1-3=6
20210101,9,9,1423,3,３連単,三連単AB,0,1-3=4,1-4=6,3-4=6,1-2=4,4.0,4-1=3,4-1=6,4-3=6,4-1=2
20210101,8,9,1430,3,３連単,三連単AB,0,1-3=6,1-2=3,1-2=6,1-3=4,1.0,1-3=6,1-3=2,1-6=2,1-3=4
20210101,14,12,1443,3,３連単,三連単AB,0,1-3=6,1-3=4,1-4=6,1-2=3,1.0,1-3=6,1-3=4,1-6=4,1-3=2
20210101,10,10,1446,3,３連単,三連単AB,0,1-2=4,1-2=6,2-4=6,1-2=3,2.0,2-1=4,2-1=6,2-4=6,2-1=3
20210101,21,12,1448,3,３連単,三連単AB,0,1-3=4,1-4=6,1-3=6,1-2=4,1.0,1-4=3,1-4=6,1-3=6,1-4=2
20210101,18,12,1449,3,３連単,三連単AB,0,1-2=4,1-3=4,1-2=3,1-4=5,1.0,1-4=2,1-4=3,1-2=3,1-4=5
20210101,17,11,1458,3,３連単,三連単AB,0,1-3=5,1-2=3,1-2=5,1-3=4,1.0,1-3=5,1-3=2,1-5=2,1-3=4
20210101,9,10,1459,3,３連単,三連単AB,0,2-3=5,1-2=5,1-2=3,2-4=5,2.0,2-5=3,2-5=1,2-3=1,2-5=4
20210101,8,10,1501,3,３連単,三連単AB,0,1-2=5,1-2=4,1-4=5,1-2=3,1.0,1-2=5,1-2=4,1-5=4,1-2=3
20210101,19,1,1515,3,３連単,三連単AB,0,1-2=6,1-2=3,1-3=6,1-2=5,1.0,1-2=6,1-2=3,1-6=3,1-2=5
20210101,20,1,1515,3,３連単,三連単AB,0,1-2=5,1-4=5,1-2=4,1-3=5,1.0,1-5=2,1-5=4,1-2=4,1-5=3
20210101,24,1,1515,3,３連単,三連単AB,0,1-3=4,1-3=6,3-4=6,1-2=3,3.0,3-1=4,3-1=6,3-4=6,3-1=2
20210101,10,11,1520,3,３連単,三連単AB,0,1-3=4,1-4=5,1-3=5,1-2=4,1.0,1-4=3,1-4=5,1-3=5,1-4=2
20210101,7,1,1522,3,３連単,三連単AB,0,1-2=3,1-2=5,1-3=5,1-2=4,1.0,1-2=3,1-2=5,1-3=5,1-2=4
20210101,15,1,1525,3,３連単,三連単AB,0,1-2=4,1-3=4,1-2=3,1-4=5,1.0,1-4=2,1-4=3,1-2=3,1-4=5
20210101,17,12,1530,3,３連単,三連単AB,0,1-4=5,1-2=4,1-2=5,1-3=4,1.0,1-4=5,1-4=2,1-5=2,1-4=3
20210101,8,11,1532,3,３連単,三連単AB,0,1-3=4,1-3=5,1-4=5,1-2=3,1.0,1-3=4,1-3=5,1-4=5,1-3=2
20210101,9,11,1536,3,３連単,三連単AB,0,1-2=4,1-4=5,1-2=5,1-3=4,1.0,1-4=2,1-4=5,1-2=5,1-4=3
20210101,20,2,1537,3,３連単,三連単AB,0,2-3=4,3-4=6,2-4=6,1-3=4,4.0,4-3=2,4-3=6,4-2=6,4-3=1
